Indikator,Tipe,preprocessed_text
melakukan pendekatan terhadap orang yang akan ditemui,E,dekat orang temu
Saya akan menerimanya dan mencoba untuk mempersiapkan beberapa topik obrolan,I,terima coba topik obrol
Tergantung penting gaknya,I,gantung
"tidak mau, tapi jika memang ingin bertemu ya ditempat ramai",E,temu iya tempat ramai
"Bila diminta, saya akan berusaha sebisa mungkin untuk berinteraksi secara sopan dengan orang tersebut",I,usaha bisa interaksi sopan orang
akan berusaha mengajak ngobrol ,I,usaha ajak ngobrol
terlebih dahulu mengamati mereka dan memahami karakter mereka,I,amat paham karakter
Meminta bertemu ramai ramai (tidak hanya berdua),E,temu ramai ramai dua
"Memulai sebuah pertemuan dengan bahasa yang sopan, berperilaku yang sopan santun, dan datang di pertemuan tepat waktu.",I,temu bahasa sopan perilaku sopan santun temu
saya akan bertanya mengapa saya harus menemui orang tersebut,I,temu orang
Menolaknya dengan halus,I,tolak halus
Mencari informasi tentangnya lalu memikirkannya terlebih dahulu ,I,cari informasi tentang pikir
menerima jika ajakan baik dan tetap waspada,I,terima aja waspada
"Saya akan mengajak teman sebaya saya untuk ikut saya bertemu dengan orang baru yang belum saya kenal, karena menurut saya tidak ada salahnya kita mengantisipasi bila terjadi hal yang tidak diinginkan.",I,ajak teman baya temu orang kenal salah antisipasi
"Saya akan mencari informasi mengenai orang tersebut, bisa melalui teman maupun media sosial dari orang tersebut agar saya bisa mengetahui bagaimana sifat dari orang  tersebut ",E,cari informasi orang teman media sosial orang sifat orang
Saya akan menunggu teman saya yang sudah kenal dengan orang baru tersebut untuk diperkenalkan atau jika teman saya tidak ada/tidak datang maka mau tidak mau saya harus berkenalan dengan orang baru tersebut ,I,tunggu teman kenal orang kenal teman nal orang
Menolak ajakan tersebut,I,tolak aja
iya bertemu saja ,E,iya temu
"saya akan bertanya terlebih dahulu kepada orang yang baru saja dikenal itu. Dan, mencari lokasi atau tempat yang akan menjadi tempat pertemuan ",E,orang kenal cari lokasi temu
Mencari topik pembicaraan untuk memulai sebuah komunikasi/timbal balik,E,cari topik bicara komunikasi timbal
saya akan datang dan mengajak berbincang ,E,ajak bincang
Memulai obrolan dan membuka topik umum agar yang diajak bicara mau berinteraksi juga,E,obrol buka topik ajak bicara interaksi
mencoba untuk berkenalan ,E,coba nal
berkenalan dan basa basi,E,nal basa basi
"kalau awal awal mengenal mungkin belum berani ketemu, atau tidak bertemu tetapi membawa temen yang lain untuk menemani",I,kenal berani ketemu temu bawa temen tani
mengajak berkenalan dan bertukar ig,E,ajak nal tukar ig
Biasa saja karena kita dapat bertemu dengan orang baru dan bertukar pikiran,E,temu orang tukar pikir
saya akan mencoba menemuinya tetapi bersama dengan teman atau keluarga atau kerabat saya,I,coba temu teman keluarga kerabat
mempersiapkan diri ,I,
"Saya akan bertemu dengannya, dan saya akan mengajak ngobrol dengan topik yang pas untuk lawan bicara. ",E,temu dengan ajak ngobrol topik pas lawan bicara
Ya kenalan,E,iya kenal
berkenalan terlebih dahulu,E,nal
"Maka saya akan mencoba mencari tau orang yang akan saya temui itu terlebih dahulu, dan saya akan akan mencoba menyesuaikan diri untuk memberi kesan pada pertemuan pertama kami",E,coba cari orang temu coba sesuai kesan temu
berusaha mencari topik untuk memulai perbincangan ,E,usaha cari topik bincang
Berdiam saja sampai orang tersebut mengajak saya ngobrol,I,diam orang ajak ngobrol
berkenalan terlebih dahulu,E,nal
"mengucap salam, berjabat tangan, memperkenalkan diri",E,ucap salam jabat tangan kenal
Saya akan bertemu dengan memperkenalkan diri saya kepada orang tersebut,E,temu kenal orang
senyum lalu mengajak kenalan ,E,senyum ajak kenal
memulai pertemuan dengan membawa suasana yang rileks agar orang yang baru kita kenal dapat mengenal kita dengan perasaan yang senang ,E,temu bawa suasana rileks orang kenal kenal asa senang
saya akan mencoba untuk memulai pembicaraan dengan enjoy jika memang lawan bicara kita tida menyenangkan kita bisa mencoba hal baru atau saja lawan bicara tersebut tidak berkenan dengan kita ,E,coba bicara enjoy lawan bicara tida senang coba lawan bicara kenan
menanyakan identitas orang tersebut seperti nama rumah dan lain lain tetapi dengan cara yang sopan karena kita sebelumnya belum akrab dengan orang tersebut,E,identitas orang nama rumah sopan akrab orang
menyesuaikan diri dan melihat kondisi agar bisa mengakrabkan diri,E,sesuai kondisi akrab
Saya akan menelisik latar belakangnya lebih dahulu dari orang tersebut.,I,tisik latar belakang orang
Saya akan bertanya tanya dulu tentang seseorang itu dan akan mengajaknya melakukan aktivitas supaya menjadi lebih dekat,E,ajak aktivitas
Melakukan bersamaan memperkenalkan diri sendiri ,E,sama kenal
"saya akan melakukan pertemuan tersebut berdasarkan: situasi, kepribadian orang tersebut dan keperluannya.",I,temu dasar situasi pribadi orang perlu
Berkenalan,E,nal
langsung senyum dan langsung akrab karena saya anaknya sokab (sok akrab),E,langsung senyum langsung akrab anak sokab sok akrab
tidak mau,I,
bersalaman dan melakukan percakapan,E,salam cakap
"Berkenalan, menyapa",E,nal sapa
saya akan sedikit segan ,I,segan
saya akan tetap menemui dan mungkin akan memulai pembicaraan ,E,temu bicara
akan bertemu dengannya,E,temu dengan
berkenalan dan berperilaku sesuai keadaan,E,nal perilaku sesuai
Jika di perlukan dan mood saya bagus saya akan mulai percakapan,I,perlu mood bagus cakap
"Mengajaknya untuk berkenalan secara sopan, dimulai dari saya memperkenalkan diri saya terlebih dahulu",E,ajak nal sopan kenal
mengajak obrol,E,ajak obrol
Mencari tahu tentang orang tersebut,I,cari orang
Mengerjakan pertemuan ituu dengan benar ,E,temu ituu
Menyetujuinya dengan persyaratan dan membawa rekan ,I,tuju syarat bawa rekan
Berkenalan terlebih dahulu sebelum bertemu secara langsung,E,nal temu langsung
Saya akan membuat pertemuan di cafe atau sebuah event untuk berkomunikasi dengan mereka secara santai.,E,temu cafe event komunikasi santai
tanya nama dan basa-basi.,E,nama basa basi
Aku tidak akan bertemu dengan orang tersebut,I,temu orang
Saya akan memperkenalkan diri terlebih dahulu lalu saya akan mengajak dia berbicara ,E,kenal ajak bicara
memperkenalkan diri,E,kenal
Saya Mencoba Untuk Bersosialisasi ,E,coba sosial
mengajak untuk berkenalan dan membahas topik yang sesuai dengan keadaan pada waktu itu untuk membangun chemistry,E,ajak nal bahas topik sesuai bangun chemistry
Mencoba untuk berbaur dengan orang tersebut ,E,coba baur orang
Saya akan mencoba untuk melakukan perkenalan dengan orang yang duduk di dekat saya. ,E,coba kenal orang duduk
Tetap menerimanya,E,terima
"Memikirkannya dahulu, apakah pertemuan tersebut penting atau hanya sekedar pertemuan biasa. Jika pertemuan tersebut penting, saya akan menerima pertemuan tersebut. Sebaliknya, jika pertemuan tersebut hanya pertemuan biasa, saya akan menolak pertemuan tersebut dikarenakan saya tidak suka berada di situasi yang cangung jika berkenalan orang baru",I,pikir temu dar temu temu terima temu temu temu tolak temu suka situasi cangung nal orang
"tetap mengikuti pertemuan tersebut dengan santai, dan tenang ",E,ikut temu santai tenang
Jika pertemuan itu hanya buat kumpul-kumpul hanya buat ngopi atau perkenalan lebih lanjut saya tidak mau jika pertemuannya membahas pekerjaan saya mau ,I,temu kumpul kumpul ngopi kenal temu bahas kerja
"Mempersiapkan diri, berhati hati, menjaga sikap untuk kesan pertama yang terbaik",E,hati hati jaga sikap kesan baik
Saya akan menemuinya,E,temu
"aku akan menemuinya tetapi aku mengajak temanku, dan itupun jika orang yang meminta itu sudah sangat dekat dan akrab denganku",I,temu ajak teman itu orang akrab dengan
tetap menemuinya walaupun sama sekali belum pernah mengenalnya,E,temu kenal
tetap akan melakukan pertemuan nya setelah itu saya akan memperkenalkan diri dan mulai membahas apa yang di perlukan ,E,temu nya kenal bahas perlu
saya akan mengajak teman,I,ajak teman
saya akan bertemu dan mencoba untuk mencairkan suasana,E,temu coba cair suasana
Saya akan berusaha untuk meminimalisir kesalahan yang akan saya buat dan berusaha untuk terlihat se natural mungkin serta berusaha untuk mencairkan suasana,E,usaha meminimalisir salah usaha natural usaha cair suasana
"Berkenalan, melakukan percakapan dengan orang baru untuk mendekatkan diri sehingga pertemuan dapat terlaksana dengan komunikasi yang baik",E,nal cakap orang dekat temu laksana komunikasi
"walau enggan, aku akan menemuinya",I,enggan temu
menerima  dengan sikap sopan ,E,terima sikap sopan
"mengatur jadwal, dan menanyakan, apakah orang tsb sedang sibuk atau tidak",E,atur jadwal orang sibuk
mempertimbangkan lagi keputusan untuk bertemu dengan orang baru,I,timbang putus temu orang
Datang tetapi membawa teman dan berjaga-jaga,I,bawa teman jaga jaga
"Hal yang akan saya lakukan, tetap melaksanakan pertemuan yang telah diamanahkan kepada saya, dengan catatan saya tidak memiliki jadwal kesibukan pada waktu yang ditentukan, lalu dikarenakan pertemuan ini bersifat formal maka saya akan lebih mengendalikan emosi dan cara bicara saya.",E,laku laksana temu amanah catat milik jadwal sibuk tentu temu sifat formal kendali emosi bicara
Mengajak untuk saling memperkenalkan diri ,E,ajak kenal
mempersiapkan diri dengan cara mempertimbangkan apa yang akan dikatakan kepada orang baru tersebut,I,timbang orang
"tetap bertemu, namun canggung untuk memulai percakapan ",I,temu canggung cakap
"pertama tama mungkin saya akan saling berkenalan diri, laluu menyajikan beberapa topik agar tidak merasakan kecanggungan",E,tama nal laluu saji topik rasa canggung
