Indikator,Tipe,preprocessed_text
"saya akan mengerjakan PR terlebih dahulu lalu jika terdapat waktu senggang saya akan bertemu dengan teman lama, karena PR merupakan tanggung jawab yang harus diselesaikan di rumah dan jika PR tersebut selesai maka kita akan mendapat waktu senggang dan tidak kepikiran terhadap PR yang harus diselesaikan ",J,pr senggang temu teman pr tanggung selesai rumah pr selesai senggang pikir pr selesai
menolak karena ada pr yang harus diselesaikan,J,tolak pr selesai
Saya tentunya akan menolak ajakan temen saya. Dengan alasan saya lebih mengutamakan prioritas yang lebih terdesak terlebih dahulu. Sedangkan untuk bertemu dengan temen lama saya bisa dilakukan di besok harinya.,J,tolak aja temen alas utama prioritas desak temu temen besok hari
Tugas kan penting apalagi skrang saya kelas 12 mau ke jenjang kuliah lebih baik ga ikut dulu karna reuni tidak se penting itu,J,tugas skrang kelas jenjang kuliah reuni
memberi pengertian jika masih ada tugas yang belum selesai dan bernegoisasi untuk bertemu esok hari,J,erti tugas selesai bernegoisasi temu esok
"Saya akan menolaknya, karena tugas yang diberi sudah mepet deadline dan bermain bisa dilakukan kapanpun",J,tolak tugas mepet deadline main
"Tidak menerima ajakan, karena sudah terdapat tanggung jawab yang harus diselesaikan sedangkan bertemu teman masih bisa lain kali",J,terima aja tanggung selesai temu teman kali
"Saya akan menolaknya dengan halus,karna saya sudah memiliki tanggung jawab sebagai Pelajar untuk mengerjakan tugas tersebut. lagi pula bermain kan bisa kapan saja",J,tolak halus milik tanggung ajar tugas main
Menyempatkan bertemu dan mengerjakan pr sebelum/sesudah bertemu,P,sempat temu pr temu
"Dengan menolaknya secara halus, mengajaknya untuk bertemu besok atau lusa. Karena PR tidak bisa di tunda.",J,tolak halus ajak temu besok lusa pr tunda
"saya akan menolak ajakan tsb, karena saya memang ingin fokus dengan pelajaran",J,tolak aja fokus ajar
Menolaknya karena ada tugas yang harus saya selesaikan malam ini,J,tolak tugas selesai malam
"Ini merupakan masalah yang sulit. Mungkin saya akan memikirkannya terlebih dahulu, baru setelah itu saya putuskan dan jikalau terpaksa saya siap menerima konsekuensi yang ada",P,sulit pikir putus paksa terima konsekuensi
menolaknya dengan halus karena pr lebih penting buat seorang pelajar,J,tolak halus pr ajar
"Menurut saya, saya akan mengerjakan PR tersebut pada saat itu juga. Karena saya ingin menghargai teman saya yang ingin mengobrol dengan saya, siapa tau ia benar benar membutuhkan sosok untuk dijadikan tempat berkeluh kesah.",J,pr harga teman obrol butuh sosok jadi keluh kesah
"Jika hal tersebut mendesak atau penting saya akan ikut dengan teman teman dan menyelesaikan tugas setelah selesai, namun apabila hanya bermain saya akan menolak. Alasan saya melakukan hal tersebut agar dapat menjaga keseimbangan antara kewajiban saya dan hubungan dengan teman saya ",P,desak teman teman selesai tugas selesai main tolak alas jaga imbang wajib hubung teman
Saya akan bermain terlebih dahulu untuk 15-30 menit lalu saya akan menggiring topik mengenai pr yang harus dibawa besok dan mengajak teman saya untuk mengerjakan pr bersama sama,P,main menit giring topik pr bawa besok ajak teman pr
Saya akan meminta maaf kepadanya bahwasanya saya memiliki tugas sekolah yang harus diselesaikan. Dan akan menerima ajakannya di lain waktu ,J,maaf milik tugas sekolah selesai terima aja
"Menyikapi dengan menolaknya. Karena waktu adalah kesempatan berharga yang tidak banyak orang memilikinya. Selagi ada waktu pergunakan sebaik mungkin karena kita tidak tahu dampak di akhirnya bagaimana. Setelah menolaknya mungkin bisa mengatakan bahwa bermain bisa dilakukan saat kita mengerjakan tugas bersama-sama. Karena bermain bukan hanya soal menyenangkan tetapi bermain dengan hal yang positif seperti mengerjakan PR bersama"".",J,sikap tolak sempat harga orang milik selagi guna dampak tolak main tugas main senang main positif pr
"menerima, krna belum tentu besok dia masih dekat dengan saya",P,terima krna besok
Menyelesaikan pr tersebut dan mencoba mengajak teman lama untuk bertemu di lain hari,J,selesai pr coba ajak teman temu
mengerjakan terlebih dahulu,J,
"menolaknya dan memberi tahu bahwa saya sedang ada tugas, jika dirasa tugas saya sedikit dan mampu diselesaikan dalam waktu singkat maka selesai mengerjakan saya akan memberi tahu dia kita bisa keluar malam ini",J,tolak tugas rasa tugas selesai singkat selesai malam
"saya akan menjawab bahwa saya sibuk dan sedang banyak tugas untuk besoknya, alasannya : bermain masih bisa dilakukan besok hari, kalau tugas telat saya tidak mau karena saya juga butuh nilai, sekolah lebih penting",J,sibuk tugas besok alas main besok tugas telat butuh nilai sekolah
"menyetujuinya tetapi menunggu pr saya selesai tapi kadang ga jadi soalnya capek, atau ngajak mereka ngerjakan pr saya juga gapapa hehe",P,tuju tunggu pr selesai kadang capek ngajak ngerjakan pr tidak apa apa hehe
Saya akan berusaha untuk mengerjakan tugas tersebut dengan cepat agar dapat bertemu dengan teman lama jika tidak bisa meminta izin untuk mengganti di lain hari,J,usaha tugas cepat temu teman izin ganti
saya akam menemui teman saya dan membawa tugas saya dan saya akan mengerjakan disana karena tugas lebih utama,P,akam temu teman bawa tugas sana tugas utama
"mungkin saya akan mengiyakan, namun saya menyelesaikan tugas saya terlebih dahulu/perginya cm sebentar ",P,iya selesai tugas pergi cm sebentar
"tergantung pada mood saya. Jika mood saya untuk mengerjakan tugas lagi down, saya akan menerima tawarannya untuk bertemu tetapi saya akan tetap mengerjakan tugas selagi bertemu. Jika mood saya lagi baik saya akan menolak tawarannya dan lebih fokus untuk menyelesaikan tugas di rumah",P,gantung mood mood tugas terima tawar temu tugas selagi temu mood tolak tawar fokus selesai tugas rumah
"Saya akan menolaknya terlebih dahulu, karena pr lebih saya utamakan agar nilai saya dapat terjamin baik. Saya akan menerimanya ketika pr sudah selesai lebih cepat atau keesokan harinya",J,tolak pr utama nilai jamin terima pr selesai cepat esok hari
saya akan menolaknya dengan menjelaskan alasan saya menolaknya. karena pr merupakan kewajiban yang harus dikerjakan ,J,tolak alas tolak pr wajib
"Saya akan menolaknya secara halus, selain karena saya harus mengerjakan tugas, saya juga membatasi diri untuk tidak keluar kecuali besoknya adalah hari libur",J,tolak halus tugas batas kecuali besok libur
menyelesaikan pr lalu menyusul acara,J,selesai pr susul acara
"Saya akan menolak ajakan mereka, karena tugas atau pr yang diberikan itu lebih penting karena terdapat nilainya daripada ajakan bermain",J,tolak aja tugas pr nilai aja main
tetap mengerjakan pr ,J,pr
Gak datang reuni. karna saya lebih senang melakukan pekerjaan yang penting dibanding hanya sekedar bersenang senang. ,J,reuni senang kerja banding dar senang senang
"Cara menyikapinya, ""maaf teman aku gak bisa ikut nongkrong dulu, dikarenakan ada tugas mendadak yang harus dikerjakan sekarang",J,sikap maaf teman nongkrong tugas dadak
"menolak dg baik 
dan memberi alasan jika beso ada tugas yang harus di kumpulkan",J,tolak alas beso tugas kumpul
"saya menolaknya, karena bermain bisa diadakan lain hari. tetapi tugas tidak bisa",J,tolak main ada tugas
jika memang teman lama tersebut berjarak jauh dengan kita atau sibuk kita meluangkan waktu sebentar sekedar bertemu agar meluangkan rasa kangen dan jika bisa membagi waktu setelah pulang mengerjakannyaa atau bertemu dan mengerjakannyaa,P,teman jarak sibuk luang sebentar dar temu luang kangen bagi pulang mengerjakannyaa temu mengerjakannyaa
menjelaskan dengan baik baik kepada teman agar menunda bertemu dan mencari hari yang tepat untuk bertemu ,J,teman tunda temu cari temu
"saya akan bicarakan baik baik, mungkin untuk bertemu dengan teman lama bisa lain hari ",J,bicara temu teman
"Jika mengajak bertemu, saya rasa saya akan menolaknya secara halus karena saya punya kepentingan pribadi yang harus saya prioritaskan. Namun jika memang ia ingin curhat mungkin bisa dilakukan melalui telepon saja",J,ajak temu tolak halus penting pribadi prioritas curhat telepon
Saya akan mengerjakan pr tersebut dulu dan akan bertemu teman lama,J,pr temu teman
Menyikapi dengan menolak dengan lembut alasanya pribadi saya sendiri saya tidak pernah keluar bersama teman walaupun sudah dibangku SMA,J,sikap tolak lembut alasanya pribadi teman bang sma
Menyelesaikannya lalu bermain,J,selesai main
menolak nya dengan cara yang baik' seperti memberi tau kepada dia (pap) bahwa saya banyak sekali pr ,J,tolak nya pap pr
menyelesaikan terlebih dahulu tugasnya ,J,selesai tugas
saya mencoba mencari alasan yang tepat untuk menolaknya karena itu berkaitan dengan PR yang harus diselesaikan malam ini tapi jika masih ada waktu saya akan datang meski tidak tepat seperti waktu yang ditentukan,J,coba cari alas tolak kait pr selesai malam tentu
saya akan mengerjakan terlebih dahulu setelah itu baru bertemu teman saya,J,temu teman
"Saya akan menenami teman lama sayan karena pr bisa dikerjakan besok, tetapi teman lama belum tentu besok akan datang lagi",P,tenam teman sayan pr besok teman besok
"saya akan menolak ajakan tersebut dan lebih memilih menyelesaikan tugas saya, dan mengganti jadwal bertemu lain waktu",J,tolak aja pilih selesai tugas ganti jadwal temu
saya akan menolak dengan baik,J,tolak
saya akan memilih membatalkan untuk bertemu dengan teman lama saya dan memilih untuk mengerjakan PR karena untuk bertemu teman lama bisa di ganti lain waktu,J,pilih batal temu teman pilih pr temu teman ganti
Saya selesaikan dulu baru keluar ,J,selesai
"Menyelesaikannya sedikit, pergi dengan teman, kemudian kembali menyelesaikannya sepenuhnya 

Karena mengerjakan itu, amatlah menekan pikiran,
Kemonotonan yang seperti itulah, menjadikan pikiran akhirnya penuh dengan beban, tidak bisa terkonsentrasi ditengah-tengah hingga sampai ke tahap lelah",P,selesai pergi teman selesai sepenuh tekan pikir monoton jadi pikir penuh beban konsentrasi tengah tahap lelah
saya akan mengerjakannya sambil bertemu atau mungkin saya telat saat menemuinya karena mengerjakan tugas tersebut terlebih dahulu ,J,kerja temu telat temu tugas
"Tetap bertemu dengan teman teman, tetapi dengan membawa tugas tersebut, sehingga kita tetap bisa ikut bersenang senang dengan teman teman, tetapi tugas tetap terselesaikan",P,temu teman teman bawa tugas senang senang teman teman tugas selesai
Meminta waktu sebentar untuk mengerjakak pr dahulu lalu pergi bermain ,J,sebentar mengerjakak pr pergi main
Saya akan mengatakan bahwa saya sedang sibuk dan menyusun acara reuni pada hari lain,J,sibuk susun acara reuni
"Mengerjakan PR dan menolaknya baik baik, dan saya juga lebih nyaman di rumah daripada di luar rumah",J,pr tolak nyaman rumah rumah
"Saya akan mengerjakan tugasnya dulu jika bisa jika tidak saya akan mengerjakan nya sambil reuni,ngobrol jika itu bermain saya akan bilang tidak dulu Karna saya belum selesai mengerjakan tugas",J,tugas nya reuni ngobrol main bilang selesai tugas
menolaknya dan menjelaskan kalau ada kegiatan yang tidak bisa dilepas lalu mengajaknya untuk bertemu lain hari. ,J,tolak giat lepas ajak temu
Aku akan datang ke acara tersebut namun aku akan pulang lebih awal untuk mengerjakan pr dan setidaknya aku sudah menghargai ajakan teman lamaku ,P,acara pulang pr harga aja teman lama
Saya akan menolaknya dan bilang lain kali saja karna saya ada pr,J,tolak bilang kali pr
memberitahunya bahwa saya masi memiliki tugas yang harus diselesaikan dan merencanakan untuk bertemu dilain hari,J,memberitahunya milik tugas selesai rencana temu lain
apabila pr nya memang sangat penting maka saya akan mengajak teman lama untuk mengobrol di lain waktu,J,pr nya ajak teman obrol
"Menyelesaikan tugas terlebih dahulu setelah itu menerima tawarah tersebut, karena kita tidak bakal bertemu setiap hari, i mean we make a new memories ",J,selesai tugas terima tawarah temu mean make new memories
"Saya memilih mengerjakan PR , karena saya introvert jadi jika tidak mengikuti kegiatan kegiatan tersebut saya tidak akan merasa menyesal sama sekali. ",J,pilih pr introvert ikut giat giat sesal
Menyelesaikan tugasnya di sore hari saat pulang sekolah dan tetap bertemu teman² dimalam hari.,J,selesai tugas sore pulang sekolah temu teman malam
Saya akan menjelaskan kepada teman saya tentang PR yang harus diselesaikan malam ini dan mengusulkan agar kita mencari waktu lain untuk bertemu. Prioritas saya adalah menyelesaikan PR karena itu adalah tanggung jawab saya sebagai siswa.,J,teman pr selesai malam usul cari temu prioritas selesai pr tanggung siswa
"tergantung kalau ada temanku yang sudah selesai PRnya, aku akan ikut, tapi jika masih belum ada temanku yang mengerjakan Aku tidak ikut. tapiiii jika aku mager aku tidak ikut dulu hehe",P,gantung teman selesai prnya teman tapiiii mager hehe
Saya mencari alasan jika saya tidak bisa reuni karena ada tugas yang harus di kerjakan ,J,cari alas reuni tugas kerja
"Ya ngerjain dulu toh mas, reuni nanti aja, buat apa juga, reuni, nongki, main ngga nyelesaikan tugas/PR",J,iya ngerjain mas reuni reuni nongki main nyelesaikan tugas pr
Bilang tidak bisa dikarenakan ada urusan pr.,J,bilang urus pr
"Aku akan menerima tawarannya dan mengerjakan pr nya disana, siapa tau mereka juga bisa membantuku, dan aku jadi lebih suka cita untuk menugas",P,terima tawar pr nya sana bantu suka cita tugas
mengajaknya untuk bermain sambil mengerjakan pr bersama,P,ajak main pr
saya akan menerima ajakan teman saya namu saya akan pulang lebih awal untuk mengerjakan setengah tugas saya dan menyelesaikan nya besok,P,terima aja teman namu pulang tugas selesai nya besok
