Indikator,Tipe,preprocessed_text
"jika bidang yang ditawarkan tidak sesuai dengan bidang yang saya minati dan saya kuasai mungkin saya tidak menerima tawaran tersebut, karena bagaimanapun itu kita harus menguasai bidang tersebut dalam waktu yang tidak singkat meskipun diberi fasilitas mentor",S,bidang tawar sesuai bidang minat kuasa terima tawar kuasa bidang singkat fasilitas mentor
menolak,S,tolak
Saya akan mengikutinya dan berusaha utk mempelajari lebih dalam.,N,ikut usaha ajar
Tetep ga ikut karena belum menguasai dan bukan bidang saya,S,tetep kuasa bidang
menolak dengan cara halus,S,tolak halus
Saya akan menolak karena saya tidak suka persiapan yang dilakukan secara mendadak apalagi tentang pendidikan,S,tolak suka siap dadak didik
akan berusaha apabila di beri fasilitas,N,usaha fasilitas
"Jikalau lomba nya bertenggat waktu yang bisa dipertimbangkan,saya akan belajar menguasai bidang tersebut agar saya dapat pengalaman. soal menang atau kalah itu sudah jadi hasil akhir dan keputusan juri ",N,lomba nya tenggat timbang ajar kuasa bidang alam menang kalah hasil putus juri
Tidak ikut karena merasa ada orang yang lebih dapat menguasai daripada saya,S,orang kuasa
Saya mungkin akan mencoba belajar di bidang itu perlahan.,N,coba ajar bidang perlahan
saya akan sangat mempertimbangkan dan meminta waktu untik berpikir,S,timbang untik pikir
Tidak saya terima ,S,terima
Saya akan jawab tidak jika saya tidak berminat sama sekali,S,minat
menerima dan berusaha belajar sungguh-sungguh ,N,terima usaha ajar sungguh sungguh
"Saya tetap akan menerimanya, karena tidak ada salahnya mencoba hal baru yang belum pernah kita coba. Terlebih lagu, guru tersebut menyiapkan mentor yang akan mengajarkan kita untuk persiapan lomba tersebut.",N,terima salah coba coba lagu guru mentor ajar siap lomba
"Saya akan menerima dengan senang hati dan bersedia ikut dalam lomba tersebut,  disebabkan saya akan mendapat pengalaman yang belum pernah didapatkan dan didampingin oleh seseorang yang lebih mengerti",N,terima senang hati sedia lomba sebab alam dapat didampingin erti
Saya akan menerima lomba tersebut jika menurut saya menarik dan saya punya kepercayaan diri yang lebih namun jika saya tidak tertarik dan pada saat itu saya tidak memiliki kepercayaan diri yang lebih maka akan saya tolak dengan sopan,N,terima lomba tarik percaya tarik milik percaya tolak sopan
Memberi tahu guru secara baik baik jika saya belum sanggup melakukan hal tersebut,S,guru sanggup
saya akan segera menerima tawaran lomba itu karna mencoba hal baru itu sangat menyenangkan dan bisa menambah pengalaman saya ,N,terima tawar lomba coba senang tambah alam
Saya akan bersedia menerima tawaran tersebut meskipun bukan bidangnya. Tapi hal tersebut dapat menambah pengalaman dan pengetahuan kita,N,sedia terima tawar bidang tambah alam tahu
"Tentunya bersedia, menurut saya hal yang baru merupakan tantangan bagi saya keluar dari zona nyaman, selain belajar hal yang baru akan membuat tingkat produktivitas saya semakin bagus",N,sedia tantang zona nyaman ajar tingkat produktivitas bagus
"jika tidak sesuai dengan kemampuan saya akan tolak, jika menurut saya itu sesuai dengan kemampuan saya akan menerima ",S,sesuai mampu tolak sesuai mampu terima
"Dengan perasaan senang, berpikir bahwa apa yang selama ini saya kuasai ternyata guru memperhatikan saya yang artinya guru peduli terhadap apa yang saya lakukan",N,asa senang pikir kuasa guru perhati guru peduli laku
tidak mau ,S,
menerima tawarannya ,N,terima tawar
saya mau tetapi saya akan mencoba meminta bimbingan ke pada guru pembimbing ,N,coba bimbing guru bimbing
