Indikator,Tipe
"dari saya sendiri terdapat jadwal, namun saya juga menyesuaikan dengan situasi yang terjadi",P
tergantung situasi,P
Lebih fleksibel bergantung pada situasi,P
Cuman bilang ke temen² aku pen kesini blalala,P
fleksibel bergantung pada situasi,P
"Saya menjalani keseharian saya tanpa jadwal, hanya mengikuti alur yang ada",P
Saya masih memikirkannya ,P
menyusun jadwal dengan rapi ,J
saya lebih fleksibel terganrung pada situasi yang sedang saya hadapi.,P
"Saya akan lebih memilih mengikuti situasi karena, saya lebih sering menemui situasi yang tidak sesuai rencana jadi lebih efektif menyesuaikan dengan situasi",P
Lebih fleksibel bergantung pada situasi dan kondisi ,P
Fleksibel bergantung pada situasi ,J
lebih fleksibel bergantung pada situasi ,P
Saya sendiri bergantung pada situasi ,P
Bergantung pada situasi,P
tergantung pada situasi ,P
Bergantung pada situasi terkadang hari tersebut banyak pr maka saya akan menyelesaikannya sampai tuntas,P
fleksibel,P
membuat jadwal karena saya orangnya tidak suka perubahan jadwal mendadak,J
saya lebih ke fleksibel ,P
tergantung pada situasi dan hari tersebut,P
Menata waktu dengan baik atau kita membuat schedule yang harus dipenuhi pada hari tersebut,J
tergantung juga biasanya saya membuat jadwal tapi kita ga tau kan situasi seperti apa jadi saya mengikuti situasi,P
lebih fleksibel tergantung situasi,P
saya lebih bergantung pada situasi dan fleksibel,P
Saya mengutamakan fleksibel yaitu tergantung situasi lingkungan dan juga mood saya,P
fleksibel bergantung pada situasi ,P
Tersusun rapi se,J
lebih fleksibel bergantung pada situasi,P
"Saya lebih cenderung ke arah membuat jadwal, karena jadwal yang rapi bisa membuat saya lebih disiplin",J
membuat jadwal sesuai situasi,J
Saya akan melakukan kegiatan dengan fleksibel yang bergantung pada situasi,P
membuat jadwal,J
Lebih terjadwal namun jika situasi tidak memadai ya fleksibel saja,J
Saya memilih fleksibel bergantung pada situasi untuk merencanakan kegiatan sehari hari,P
tersusun rapi,J
tergantung pada situasi,P
merancang jadwal jika memang jadwal tersebut bertabrakan kita akan menyesuaikan situasi ,J
lebih fleksibel bergantung pada situasi,P
lebih fleksibel bergantung pada situasi ,P
Bergantung pada situasi,P
"Fleksibel bergantung situasi, karena meskipun saya sudah membuat jadwal pasti saya akan mengabaikan atau lalai terhadap hal itu",P
fleksibel bergantung pada situasi ,P
saya lebih fleksibel namun saya tetap meminta kepastian terhadap kegiatan tersebut ,P
biasanya saya akan merencanakan nya,J
"kalau buat jadwal tersusun rapi, tapi kalo dilaksanainnya fleksibel",P
Membuat jadwal yang tersusun rapi,J
Fleksibel bergantung pada situasi,P
fleksibel bergantung situasi,P
