Indikator,Tipe
"mendengarkan lagu,menonton film,dan membaca novel ataupun buku",I
"Saya melakukan hobi saya seperti bermain gitar, lalu tidur untuk mengisi energi, bermain bersama teman, dan mengisi waktu luang dengan seperti jogging.",I
Waktu di rumah sendirian pas semua keluar ada acara atau saya yang keluar sendiri cari angin,I
"rebahan, jalan-jalan",E
"Bermain game, Belajar melalui bimbel, dan Berolahraga",I
"Bermain bersama teman, atau mendengarkan lagu",I
mencari motivasi untuk work out (olahraga) di internet ,I
Bermain dengan teman teman dan mencoba cafe baru,E
Biasanya saya mendapatkan energi seperti ketenangan dan kesenangan di taman pada malam hari.,I
tidur…. dan membaca buku serta mendengarkan musik,I
Menonton film,I
"Bermain sesuatu, mencari informasi/sesuatu yang menarik",I
Bermain voli badminton renang lari-lari,E
Saya akan jalan jalan sendiri seperti menonton atau mungkin bermain bersama teman teman saya.,I
Cara paling mudah yaitu dengan bermain game sambil meresahkan diri. Hal tersebut sudah cukup untuk mengembalikan energi,I
Dengan bermain game atau dengan menonton series tv/film,I
keluar jalan jalan sendiri atau melakukan hobby ,I
Saya. Sering kali menghabiskan waktu dengan bermain handphone dan apabila mood sedang bagus melakukan olahraga ,I
"Ketenangan, biasanya setelah bertemu dengan banyak orang kebiasaan yang saya lakukan berada di kamar dan melakukan meditasi mengenai hal"" yang saya lakukan selama di luar untuk meredakan amarah dan lain"", lalu beberapa jam untuk menonton film untuk meningkatkan mood agar besoknya dapat kembali beraktifitas",I
saya biasanya memilih untuk menggambarkan apa saja yang ada dipikiran saya ,I
Jika ada waktu senggang saya bisa memilih untuk menonton drama korea atau bahkan hanya jalan-jalan ke mall menyenangkan diri saya,I
lebih sering menghabiskan waktu dengan teman” pergi ke mall dan shopping,E
tidur untuk mengembalikan mood dan lebih sering membaca buku untuk mencari ketenangan,I
"membaca buku dan mendengarkan lagu di spotify, ketika saya mengerjakan tugas, galau, gabut atau yang lain"" saya pasti mendengarkan lagu",I
"scroll tiktok, dan main ke rumah teman",E
"Bermain game, melihat streaming di YouTube",I
caranya sepertu saya bermain makan bersenang senang ,E
"mendengarkan musik, bersepeda ",I
"biasanya saya menghabiskan waktu luang saya dengan nongkrong dengan teman atau night riding bersama teman""",E
"Keluar kelas dan merasakan angin yang berhembus, bermain game, olahraga, ",I
mendengarkan musik dan membacanya novel,I
"kesenangan saya adalah melakukan hobi yaitu menggambar, biasanya saya menenangkan diri dengan mendengarkan lagu",I
Saya mengabiskan waktu dengan membaca buku seperti buku sekolah dan juga novel,I
"bangun pagi jogging, pergi ke cafe yang memiliki beautiful view, nonton film dan yaaa sisa sisa waktu untuk beristirahat ",I
"belajar dan memasak. karna menurut saya tidak ada waktu untuk bersantai santai. membaca buku, memasak, dan berdagang.",I
"Mungkin yang saya lakukan untuk menghabiskan waktu untuk kesenangan Mungkin bisa dengan bermain game,latihan bersama teman saat ekstra, gym. Bisa juga saya keluar untuk mencari tempat ketenangan ",E
"saya melakukan me time seperti tidur, makan yang saya sukai dan menonton film.",I
"biasanya saya hanya melakukan hal hal kecil seperti mendengarkan musik kpop, biasanya juga hanya scroll tiktok",I
"Cara saya menghabiskan waktu setelah sekolah adalah melatih adik² paskib (ekskul),menghabiskan dijalan (motoran), mendengarkan lagu,dan menaikan mood bisa dengan cara keluar me time ",E
"tidur,kumpul dengan teman teman,dan makan",E
"kesenangan, ketenangan atau pun mood  biasanya saya menghabiskan waktu untuk berjalan- jalan, ataupun hanya diam di dalam kamar untuk mendapatkan ketenangan ",I
"Saya menghabiskan waktu untuk mengisi energi saya dengan mencari kesenangan melalui media sosial seperti Instagram, Quora, ataupun Twitter",I
"Saya akan jalan jalan / healing untuk merefresh otak supaya lebih plong dan tidak memikir sesuatu yang berat, dan saya mungkin bermain game online seperti mobile legends",I
Menurut saya pribadi melakukan aktivitas apapun asalkan menyenangkan seperti keheningan diluar sambil menghirup udara dan mendengarkan musik  ,I
melakukan beberapa hobi saya seperti bermain alat musik khususnya piano. ,I
Pergi bermain dengan teman,E
"untuk mengembalikan mood saya kadang tidur, nonton film, dan drakor",I
berdiam diri,I
saya menghabiskan waktu untuk mendapatkan kesenangan maupun ketenangan dengan berkumpul bersama teman-teman saya mengobrol maupun saling bertukar pikiran untuk kembali mendapatkan mood yang baik ,E
"bersantai, membaca novel",I
Berolahraga seperti berlari dengan mendengarkan musik,I
"hangout dengan teman, atau hanya mendengarkan musik ",E
saya akan meluangkan banyak waktu bersama teman dan pacar saya,E
melihat tiktok dan mendengarkan lagu untuk menenangkan diri ,I
"dengerin lagu, main gitar, main bass, bermain handphone, tidur",I
Saya suka berkumpul dengan teman teman namun ada kalanya saya perlu waktu sendiri,E
"Membaca buku, menulis maupun mengutip puisi, mengikuti latihan bela diri, jogging lari, kulineran",I
"karaokean, mengulik/belajar dance, makan sambil liat netflix, mewarnai",I
Latihan badminton dan bersepeda,E
Biasa untuk mengembalikan mood saya membaca buku atau melihat film,I
Biasanya dirumah saya menggambar dan menonton hiburan seperti anime dan musik untuk mendapat ketenangan hidup atau sekedar mengembalikan mood. Saya juga biasanya menyendiri ketika merasa mood saya kurang baik agar orang orang disekitar saya tidak turut mendapatkan suasana yang kurang menyenangkan,I
ke kantin bersama teman teman dan bercanda atau menggibah,E
"Saya antara bermain game online seperti Valorant atau, saya keluar dengan teman teman saya ke gramedia atau cafe.",E
"baca novel, makan seblak, tidur seharian.",I
"Menonton movie, karaoke, dan memasak",I
