Indikator,Tipe
"sebelum memilih hal tersebut saya melihat terlebih dahulu jadwal pembelajaran yang akan dilakukan pada hari itu, jika terdapat pelajaran yang saya tidak sukai mungkin akan lebih memilih jam pelajaran yang sedang berlangsung. Namun jika pada hari tersebut terdapat jadwal yang saya sukai mungkin lebih memilih jadwal di luar jam pelajaran",P
saat jam pelajaran berlangsung,P
Jadwal di luar jam pelajaran karena saya ga mau ketinggalan materi pelajaran.,J
Lebih keluar pelajaran,P
jadwal di luar jam pelajaran ,J
tentunya diluar pelajaran,J
luar jam pelajaran,J
Saya lebih nyaman di luar jam pelajaran karna pada dasarnya pelajar juga butuh materi dasar akademik untuk mengikuti kegiatan non akademik ,J
Diluar jam pelajaran,J
Saya lebih nyaman untuk jadwal di luar jam pelajaran agar tidak tertinggal materi.,J
Di luar jam pelajaran agar tidak terdistraksi oleh waktu,J
luar jam pelajaran ,J
"Saya lebih nyaman memilih jadwal diluar jam pelajaran, karena saya tidak ingin tertinggal dengan pelajaran yang sedang berlangsung.",J
Saya akan memilih diluar pelajaran agar akademik Saya tidak terganggu dan saya dapat melakukan kedua hal tersebut dengan efektif,J
Pada saat jam pelajaran berlangsung ,P
Pada saat jam pelajaran berlangsung ,J
kalau saya tergantung kegiatannya apa dulu kalau memang penting dan diharuskan untuk mengikuti mungkin bisa saat jam pelajaran tapi kalau sebaliknya ya diluar jam pelajaran ,P
Saya lebih suka melakukannya diluar jam pembelajaran ,J
Memilih jadwal di luar jam pelajaran,J
di luar jam pelajaran,J
Di luar jam pelajaran agar tidak mengganggu aktivitas saat pelajaran berlangsung karena semua ada porsinya,J
diluar jam pelajaran,J
"di luar jam pelajaran, saat bersama teman"" saya",J
Saya akan memilih di luar jam pelajaran karena di pelajaran tersebut saya akan mendapatkan ilmu baru dan mengetahui tugas apa yang diberikan,J
diluar jam pelajaran ,J
"saat jam pelajaran berlangsung, karena saya tidak menyukai kegiatan akademis",P
"Saya lebih nyaman memilih pada saat jam pelajaran berlangsung, karena saya terkadang bosan akan pelajaran",P
di luar jam pelajaran ,J
Luar jam perlajaran,J
diluar jam pelajaran karena itu akan membuat saya lebih konsentrasi ,J
Pada saat di luar jam pelajaran,J
diluar jam pelajaran ,J
Saya akan lebih nyaman pada saat diluar pelajaran karena akan lebih nyaman,J
jam diluar pelajaran,J
diluar jam pelajaran. menurut saya sekolah lebih penting. ,J
Saya akan memilih jadwal di luar jam pelajaran ,J
pada saat jam pelajaran berlangsung,P
"lebih nyaman diluar jam pelajaran, karena saat jam pelajaran terasa sangat sangat membosankan",J
sebaiknya dibagii menjadi dua katagori dii luar jam pelajaran dan saat pelajaran agar siswa siswi tida merasakan bosan ,P
memilih jam diluar jam pelajaran,J
saya lebih memilih jadwal di luar jam pelajaran ,J
Saya lebih nyaman untuk memilih jadwal di luar jam pelajaran berlangsung soalnya menurut saya jika kegiatan non akademis dilakukan saat jam pelajaran berlangsung maka akan memotong materi belajar saya dan teman-teman saya yang lain.,J
Lebih nyaman diluat jam mungkin ini membuat saya senang,J
"jelas diluar pelajaran, karena jam pelajaran sangat penting ",J
Luar jam pelajaran,J
pada saat jam pelajaran berlangsung ,P
pada saat jam pelajaran ,P
saya lebih memilih jadwal itu ketika jam pelajaran berlangsung,P
di luar jam,J
Jam pelajaran ,P
di luar jam pelajaran ,J
saya lebih nyaman saat di luar jam pelajaran agar tidak menggangu jam pelajar saya ,J
di luar jam pelajaran,J
DI LUAR JAM PELAJARAN LAAHHHHH kalau ketinggalan mapel gmn,J
Jam di luar pelajaran,J
Diluar jam pelajaran ,J
di luar jam pelajaran ,J
Di luar jam pelajaran,J
Di luar jam pelajaran,J
Saya akan lebih nyaman diluar jam pelajaran karena saya sulit untuk meninggalkan materi pelajaran.,J
Saat pelajaran berlangsung,P
Saya memilih di luar jam pelajaran,J
luar jam pelajaran karena biar engga mengganggu aku belajar.,J
Aku akan memilih di luar jam pelajaran agar tidak tertinggal materi sekolah ,J
Saat jam pelajaran berlangsung ,P
Saya lebih nyaman untuk memilih jadwal di luar jam pelajaran,J
Sama Sama nyaman,P
di luar jam pelajaran,J
di luar jam pelajaran ,J
"Saya lebih nyaman untuk memilih di luar jam pelajaran, karena saya merasa bahwa meninggalkan pelajaran membuat saya rugi jika melewatkannya. ",J
Di luar jam pelajaran,J
Saya lebih nyaman memilih jadwal di luar jam pelajaran untuk kegiatan non-akademis.,J
di luar jam pelajaran hehe,J
Saya lebih memilih jadwal di luar pelajaran karena saya tidak menyukai jam pelajaran karena membuat ngantuk dan kepala menjadi pusing ,J
"Diluar mas, sayang uang ortu saya buat bayar SPP mahal mahal, masa udah bayar mahal tapi malah dipakai kegiatan non akademik",J
Saya akan memilih jadwal diluar jam pelajaran ,J
Di luar jam pelajaran ,J
luar jam pelajaran,J
tergantung pelajarannya,P
di luar jam pelajaran,J
diluar jam pelajaran,J
Saya lebih nyaman memilih jam tersebut di luar jam pelajaran berlangsung,J
Di luar jam pelajaran,J
diluar jam pelajaran,J
memilih jadwal diluar jam pelajaran ,J
jadwal di luar jam pelajaran,J
saya lebih nyaman untuk memilih jadwal di luar jam pelajaran agar tidak mengganggu proses belajar mengajar,J
"Saya lebih memilih untuk melakukannya diluar jam pelajaran, tetapi jika kegiatan itu dilakukan di saat pelajaran yang saya tidak suka, saya setuju untuk melakukannya di jam pelajaran",J
"Tergantung pelajaran yang sedang berlangsung jika pembelajaran itu kurang terlalu saya minati maka saya memilih di saat jam pembelajaran berlangsung, tetapi jika saat pelajaran yang saya minati maka saya akan memilih di luar jam pembelajaran.",P
Saya nyaman untuk memilih jadwal di luar jam pelajaran,J
pada saat di luar jam pelajaran berlangsung ,J
lebih memilih jadwal di luar jam pelajaran karena jika dicampur pada saat jam pelajaran itu akan menggangu konsentrasi ,J
diluar jam mata pelajaran,J
Di luar jam pelajaran,J
Pada saat jam pelajaran ,P
saat pelajaran berlangsung,P
Di luar jam pelajaran agar tidak tertinggal materi dengan yang lain,J
memilih jadwal di luar jam pelajaran,J
