Indikator,Tipe
"hal yang pertama saya lakukan ialah menanyakan teman saya apakah sanggup menerima tugas yang diberikan atau tidak, jika tidak bisa mungkin lebih baik memberikan tugas atau menukar tugas dengan teman lain yang bisa menyelesaikan tugas apapun yang diberikan",F
tidak peduli,T
Mengambil alih tugasnya,F
Menegurnya karena di juga kan ga dibuat sengaja,F
"menegur, jika memang tetap tidak bisa, dengan terpaksa mengambil alih tugas",T
Saya akan mengambil alih tugasnya dan menegurnya dengan membuktikan hasil yang saya kerjakan,T
akan berusaha menegur tapi kalau masih tetap sama akan diambil alih,T
Saya akan membagi rata semua tugas kelompok yang diberikan guru kepada kita agar nilai kelompok ini asli dari hasil kerja keras kita bersama ,F
Mengambil alih tugas,F
Menegurnya dengan baik.,F
menegurnya,T
Menegurnya ,T
Mengambil alih tugasnya karena saya tidak suka drama yang berkepanjangan,F
menegurnya dan suruh mengerjakan ,T
"Pertama saya akan menegurnya dan tentunya memberi tahu manakah titik kesalahan yang ia buat, setelah itu saya akan membantunya mengerjakan tugasnya.",F
Saya akan mendahulukan dengan cara kekeluargaan yaitu menegurnya dengan begitu tidak akan terjadi konflik yang tidak perlu. Namun apabila dirasa tidak ada itikad baik maka akan saya ambil alih tugasnya,F
Menegur nya untuk melakukan tanggung jawab yang telah diberikan agar tidak dapat enaknya saja,T
Menegur,T
mungkin awalnya bisa menegur terlebih dahulu tetapi kalau dia tetap tidak mau kerja saya akan mengambil alih tugas ,F
Saya tidak akan mencantumkan namanya di kelompok kerja dan memberi tahukannya kepada guru pembimbing ,T
Menegurnya,T
menegurnya dan memilih untuk mengambil alis tugasnya agar cepat selesai,F
Pertama menegur jika tidak ada tanggapan maka akan saya ambil alih tugasnya dan jika tugas itu mengeluarkan biaya maka akan saya tarik biaya dari dia yang pasif,T
menegurnya karena itu sudah tanggung jawab mereka,T
menegurnya terlebih dahulu tapi jika tidak ada respon perubahan maka akan saya ambil alih tugasnya ,F
"menegurnya agar mengerjakan tugasnya, tetapi jika makin lama tidak di dengarkan saya akan mengambil alih tugasnya ",F
menegurnya dan mengajak mengerjakan bersama agar ia tidak lalai,F
Menegurnya lalu mengambil alih tugas ketika dia tetap lalai dengan tugasnya,F
saya akan menegurnya dan memberi nasihat ,F
menegurnya lah,T
"saya akan menegur dan mengambil alih tugasnya, karena saya tidak suka basa basi karena dapat menghabiskan waktu",F
"Saya akan menegur teman saya tersebut dan menyuruhnya untuk mengerjakan tugasnya jika dia tidak bisa, maka saya akan membantunya sampai selesai",F
menegurnya dan mengajarkannya cara untuk melakukan tugasnya,F
Menegurnya,T
menegurnya tanpa mengambil alih tugasnya karena dalam suatu kelompok setiap anggota mendapatkan bagiannya masing masing,F
Menegurnya,T
"menegurnya dan bila sudah memang tidak bisa maka saya akan mengambil ahli, demi perkejaan tersebut terkumpul sebelum deadline ",F
Saya akan menegurnya dahulu dan memberi waktu 2 hari jika dalam waktu 2 hari tersebut dia tetap tidak mengumpulkan saya akan mengambil alih tugasnya,F
menegur dengan baik dan sopan,F
"Saya tidak akan mengambil alih tugasnya, saya hanya akan mengingatkan bahwasanya ia memiliki kewajiban untuk menyelesaikan tugas bagiannya. Sambil saya bimbing dengan teman teman kelompok yang lain, juga sembari membantu sedikit demi sedikit. Karna saya yakin bila mengerjakan sesuatu yang dikerjakan bersama sama jelas hasilnya akan lebih baik dan cepat selesai. ",T
Menegurnya,T
menegurnya,T
"mengambil alih tugasnya, bukan bermaksud maruk dalam penugasan. tetapi, hal tersebut saya lakukan agar cepat selesai dan tidak molor ataupun menghabiskan bahan yang ada",F
