Indikator,Tipe
"bagi saya suatu kesalahan merupakan salah satu kesempatan agar kita dapat meningkatkan keterampilan kita, karena kesalahan yang sudah terjadi tidak seharusnya diulang kembali",N
"Normalnya saya pasti sedih dan sedikit murung dan tidak mood utk ngapa²in, setelah itu saya melakukan hal2 yang ingin saya lakukan dgn sendiri, kemudian saya akan bangkit lagi utk meningkatkan keterampilan.",S
"ketika mengalami kegagalan itu sendiri, saya merasa sedih. namun setelah beberapa waktu untuk menenangkan diri, saya bisa berfikir jernih dan menganggap kegagalan adalah hal yang normal/sebuah proses yang dilalui orang2.",N
melihatnya sebagai kesempatan untuk belajar untuk meningkatkan keterampilan,N
"Kesalahan yang kecil biasanya terabaikan, namun kesalahan besar akan membuat saya berfikir tentang cara memperbaikinya",S
cenderung mencari kesalahannya dimana,S
Mungkin saya akan istirahat sejenak dan mengapresiasi kerja keras saya walau hasilnya kurang maksimal tetapi saya akan tetap mencoba dengan cara yang baru dan menganalisis kesalahan di cara yang lama,N
Menyalahkan hal yang tidak sesuai san setelah masalah selesai saya akan mengingatnya untuk dijadikan pelajaran dan pengalaman,N
"Jika menurut saya sesuatu yang saya kerjakan itu tidak seperti ekspetasi saya, bisa dibilang itu sebuah kegagalan atau kesalahan. Dan dari kesalahan tersebut saya bisa belajar untuk meningkatkan keterampilan saya.",N
"saya akan melihat dimana dan apa yang membuat saya gagal, dan saya akan menjadikannya sebagai pelajaran dan koreksi",S
Cenderung mencari kesalahan dan menyalahkan hal yang tidak sesuai ,S
"Ya, saya cenderung suka menyalahkan sesuatu dan saya sedang berhadapan dengan masalah ini ",S
Belajar dari kesalahan dan memperbaikinya ,N
"Saya lebih melihat sebagai kesempatan untuk belajar untuk meningkatkan keterampilan, karena menurut saya kegagalan bukan bearti kita pecundang itu hanyalah proses untuk menuju kesukses an.",N
Saat ini saya masih sering menyalahkan hal lain untuk menutupi kesalahan. Namun saya mulai belajar bahwa kesalahan adalah hal yang wajar dan mulai menjadikan sebagai sebuah pembelajaran ,N
Terkadang saya menyadari kesalahan saya namun saya tidak menyalahkan hal yang tidak sesuai ,N
Kesempatan dong,N
kadang melihatnya agar saya bisa tahu mana yang salah dan bisa untuk lebih meningkatnya tetapi kadang juga saya lebih milih untuk tidak melihat karna bisa membuat saya putus asa ,S
Saya sendiri menjadi kesalahan sebagai pembelajaran dan menjadikannya sebagai motivasi ,N
Cenderung mencari kesalahan,S
mencari kesalahan dan kelemahan ,S
Awalnya saya menyalahkan namun seiring berjalannya waktu saya akan terus mencoba meningkatkan diri saya,N
